"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mtch1.1",2.81217040532871e-15,0.955121642186556,0.979,0.7,4.00143726974222e-11,7,"Mtch1"
"Ccnd3",3.08924084392097e-15,0.802529297819871,0.646,0.185,4.39568079681515e-11,7,"Ccnd3"
"Ndrg2",3.48966429680204e-15,0.457687496730641,0.417,0.075,4.96544332791962e-11,7,"Ndrg2"
"Cd63.2",3.51884564343179e-15,1.26328350889714,0.979,0.947,5.0069654660391e-11,7,"Cd63"
"Ly6a.3",3.56038308186692e-15,2.02985147576864,0.917,0.655,5.06606908718844e-11,7,"Ly6a"
"St3gal1.1",3.88312167646336e-15,0.617294547776207,0.479,0.105,5.52529383343971e-11,7,"St3gal1"
"Prr15l.3",3.97392232161348e-15,-1.11733005049476,0.042,0.709,5.65449407142383e-11,7,"Prr15l"
"Map1lc3a.4",3.98387694867813e-15,1.01561097811545,0.854,0.357,5.66865851027411e-11,7,"Map1lc3a"
"St3gal2",4.86620921174318e-15,0.47146003129956,0.354,0.056,6.92412908738937e-11,7,"St3gal2"
"Plod3",6.2164521204261e-15,0.62759306545037,0.625,0.174,8.84538972215429e-11,7,"Plod3"
"Cd14.4",6.86189918291117e-15,-1.54607617521441,0.104,0.732,9.7637963473643e-11,7,"Cd14"
"Tuba1b.2",7.22894688019052e-15,0.994413612281185,0.938,0.617,1.02860685158231e-10,7,"Tuba1b"
"Ssbp2.1",7.48973967269319e-15,0.555988324647247,0.5,0.111,1.06571505802751e-10,7,"Ssbp2"
"Tspan9",7.75694028584365e-15,0.663365438782034,0.5,0.113,1.10373503327269e-10,7,"Tspan9"
"Pja2",8.46034398790439e-15,0.646063668949096,0.667,0.196,1.20382234603892e-10,7,"Pja2"
"Fkbp5",8.73869525420531e-15,0.412213768292564,0.312,0.044,1.24342894772087e-10,7,"Fkbp5"
"Dsg2.3",9.02658564764758e-15,-1.23452034356527,0.021,0.656,1.28439287180377e-10,7,"Dsg2"
"Chst14",9.77513573268053e-15,0.362631566163795,0.271,0.032,1.39090406340311e-10,7,"Chst14"
"Dmbt1.3",1.18111309581113e-14,-4.4043741465157,0.146,0.712,1.68060582402966e-10,7,"Dmbt1"
"Nynrin",1.20327971914715e-14,0.313511334766206,0.271,0.032,1.71214671237448e-10,7,"Nynrin"
"Aida",1.22624450164037e-14,0.627162774139066,0.583,0.152,1.74482330138408e-10,7,"Aida"
"Itga5",1.2525868489272e-14,0.591067189425256,0.354,0.057,1.78230582733852e-10,7,"Itga5"
"Slc25a12",1.26208595990099e-14,0.37907516378163,0.333,0.05,1.79582211234312e-10,7,"Slc25a12"
"Adprh",1.32681025890439e-14,0.767936540985267,0.583,0.163,1.88791831739506e-10,7,"Adprh"
"Dubr",1.33718348058072e-14,0.326823494186116,0.25,0.027,1.90267837451831e-10,7,"Dubr"
"Maged1.4",1.49347827292934e-14,1.00536355707057,0.833,0.354,2.12507023455115e-10,7,"Maged1"
"Atp2b4",1.5069933377246e-14,0.386660513562171,0.25,0.027,2.14430082024833e-10,7,"Atp2b4"
"Car2.4",1.61883538067177e-14,-1.96031937804686,0.021,0.644,2.30344086315787e-10,7,"Car2"
"Trabd2b",1.67907438603725e-14,0.341572624033633,0.25,0.027,2.38915494389241e-10,7,"Trabd2b"
"Amotl1.3",1.69735964127842e-14,0.749977030980029,0.667,0.203,2.41517303357507e-10,7,"Amotl1"
"Cyb5a.4",1.73488770555965e-14,0.960729924042207,0.979,0.814,2.46857171624083e-10,7,"Cyb5a"
"Tmed3.1",1.76610062672089e-14,1.04271741913103,0.917,0.603,2.51298458176116e-10,7,"Tmed3"
"Rnd3",1.9744156008555e-14,0.771109693007591,0.562,0.15,2.8093959584573e-10,7,"Rnd3"
"Hdgfl3",2.08587345796766e-14,0.39874858283605,0.292,0.039,2.96798934334218e-10,7,"Hdgfl3"
"Tmc4.2",2.12681141123607e-14,-1.08750334875525,0.042,0.652,3.0262399570478e-10,7,"Tmc4"
"Rhoj.6",2.15960805368092e-14,0.957017290965326,0.75,0.271,3.07290629958259e-10,7,"Rhoj"
"Lifr",2.29744355318969e-14,1.02789888256624,0.562,0.158,3.26903243183361e-10,7,"Lifr"
"Lsr.3",2.38021364241528e-14,-1.06792781041848,0.042,0.649,3.38680599179271e-10,7,"Lsr"
"Chchd10.3",2.82226521497146e-14,-1.0671392369958,0.021,0.643,4.01580117438289e-10,7,"Chchd10"
"P4hb",3.15459313276883e-14,0.877001874311661,0.979,0.819,4.48867056861677e-10,7,"P4hb"
"Fermt1.2",3.62922394379595e-14,-1.14717456142822,0,0.612,5.16402274962726e-10,7,"Fermt1"
"Lefty1",3.63299171834957e-14,0.405663495787502,0.333,0.053,5.16938391603961e-10,7,"Lefty1"
"Thra.1",3.67409711115885e-14,0.727536072357052,0.646,0.203,5.22787277946793e-10,7,"Thra"
"Mturn",3.71314100733886e-14,0.348236354314643,0.25,0.029,5.28342833934247e-10,7,"Mturn"
"Pdia3.2",3.72311892675762e-14,0.94803533246005,0.979,0.902,5.29762592088342e-10,7,"Pdia3"
"Scn1b",3.80393056761443e-14,0.567848479857309,0.458,0.101,5.41261280465857e-10,7,"Scn1b"
"H6pd.1",3.80916094318483e-14,0.784807015143128,0.625,0.189,5.42005510605769e-10,7,"H6pd"
"Sox9.4",4.01703141573522e-14,-1.5269716599254,0.208,0.759,5.71583400144965e-10,7,"Sox9"
"Fndc3b.4",4.8153909035523e-14,0.911941234475281,0.812,0.319,6.85181971666456e-10,7,"Fndc3b"
"Pkd2.1",5.65842804156291e-14,0.658322414408801,0.646,0.191,8.05137726033986e-10,7,"Pkd2"
"Lgmn",5.81236130460764e-14,1.08453183795122,0.604,0.192,8.27040890032621e-10,7,"Lgmn"
"Ugdh.1",6.3774558427716e-14,0.833851044632606,0.604,0.179,9.07448191867971e-10,7,"Ugdh"
"Slc12a2.4",6.97636914197962e-14,-1.44184057631113,0.146,0.72,9.9266756521228e-10,7,"Slc12a2"
"Pam.3",7.17740758420762e-14,0.976752434953049,0.812,0.342,1.0212733251569e-09,7,"Pam"
"Pdia6.1",8.26818395009458e-14,1.01997230264328,0.979,0.85,1.17647989425896e-09,7,"Pdia6"
"Vtn",8.72706043113593e-14,0.827894701025273,0.292,0.042,1.24177342874633e-09,7,"Vtn"
"Creb3l1.1",9.01652991533105e-14,0.809124129093594,0.646,0.211,1.28296204165246e-09,7,"Creb3l1"
"Grn.3",9.56912289343554e-14,0.826553641770565,0.896,0.521,1.36159049650694e-09,7,"Grn"
"Npc2.1",9.84652254056761e-14,0.984899806431287,0.938,0.786,1.40106169229736e-09,7,"Npc2"
"S100a13.2",9.99689024048832e-14,1.1714693249898,0.896,0.706,1.42245751231908e-09,7,"S100a13"
"Peg3",1.00845290939396e-13,0.789871102652555,0.312,0.048,1.43492764477667e-09,7,"Peg3"
"Nucb1.2",1.10698086478612e-13,0.969668341643842,0.854,0.474,1.57512307250417e-09,7,"Nucb1"
"Sec23a",1.14450613786439e-13,0.505574563521086,0.396,0.079,1.62851778356724e-09,7,"Sec23a"
"Ggcx",1.39750740954382e-13,0.415786212275506,0.375,0.069,1.9885132930399e-09,7,"Ggcx"
"Ank",1.45598190948448e-13,0.381682837407785,0.271,0.036,2.07171665900547e-09,7,"Ank"
"Axin2",1.48179052161436e-13,0.336594947879247,0.271,0.036,2.10843973320507e-09,7,"Axin2"
"Rbms1.3",1.50960479794906e-13,0.887894230730186,0.896,0.468,2.14801666700172e-09,7,"Rbms1"
"Nr1h3",1.917366295682e-13,0.407819902465449,0.396,0.076,2.72822050212592e-09,7,"Nr1h3"
"Gpm6b.1",1.95548562244189e-13,0.972553293672685,0.583,0.185,2.78246049217257e-09,7,"Gpm6b"
"Arap1",2.31232194346797e-13,0.657597449600855,0.521,0.136,3.29020289336057e-09,7,"Arap1"
"Epdr1",2.35550682853201e-13,0.481175186132772,0.312,0.05,3.3516506663182e-09,7,"Epdr1"
"Mageh1",2.5432700367257e-13,0.533386895710115,0.5,0.123,3.618818935257e-09,7,"Mageh1"
"Ift27",2.70124848210736e-13,0.562004723822793,0.604,0.178,3.84360646519056e-09,7,"Ift27"
"B4galt6.2",2.70237752701978e-13,-1.01069489996957,0.062,0.638,3.84521298319645e-09,7,"B4galt6"
"Dtnbp1",2.7958128815665e-13,0.673636641108811,0.542,0.152,3.97816214918098e-09,7,"Dtnbp1"
"Plcd1",2.90876969988299e-13,0.301693768377613,0.25,0.031,4.1388884059635e-09,7,"Plcd1"
"Plpp2.2",2.98518941730455e-13,-0.987689886613719,0.042,0.621,4.24762602188265e-09,7,"Plpp2"
"Tmem106b.4",3.22581714032572e-13,0.596473758220356,0.708,0.235,4.59001520896947e-09,7,"Tmem106b"
"Ctse.5",3.24141558661866e-13,-2.24215876490654,0.083,0.653,4.61221023819969e-09,7,"Ctse"
"Serf2.2",3.32317720372887e-13,0.873811334214867,1,0.98,4.72854884318581e-09,7,"Serf2"
"Ppib.1",3.4249884636389e-13,0.749516084665422,1,0.977,4.87341608491179e-09,7,"Ppib"
"Vamp8.3",4.22612260945189e-13,-1.00392971313011,0.521,0.905,6.01334986098909e-09,7,"Vamp8"
"Pdzk1ip1.4",4.28108490252319e-13,-1.25360786303014,0.042,0.641,6.09155570780024e-09,7,"Pdzk1ip1"
"Nfix.5",4.32257705012021e-13,0.911966476053798,0.896,0.499,6.15059488461605e-09,7,"Nfix"
"Nfia.4",5.59288276061303e-13,1.04626809332347,0.896,0.569,7.95811288007627e-09,7,"Nfia"
"Cachd1",5.59984440514095e-13,0.318489010920591,0.292,0.043,7.96801860407505e-09,7,"Cachd1"
"Gga2",6.12318141736303e-13,0.4534185910067,0.396,0.08,8.71267483876585e-09,7,"Gga2"
"Aldh1a1.1",6.13002327384598e-13,0.640977266964627,0.479,0.118,8.72241011635545e-09,7,"Aldh1a1"
"Klf5.5",6.15493684446353e-13,-1.19948273837103,0.083,0.655,8.75785963598715e-09,7,"Klf5"
"Wwtr1",6.24663190783758e-13,0.605658283261802,0.625,0.193,8.88833254166209e-09,7,"Wwtr1"
"Stat3.3",6.67284980345917e-13,0.812356200891486,0.729,0.277,9.49479798534205e-09,7,"Stat3"
"Crb3.2",6.69717556661662e-13,-0.950971664072635,0,0.574,9.52941111373879e-09,7,"Crb3"
"Fam129a.1",7.07203559470605e-13,0.570910227697652,0.562,0.159,1.00627994477072e-08,7,"Fam129a"
"Cfb",7.10598365446958e-13,0.604607029867426,0.417,0.093,1.01111041419448e-08,7,"Cfb"
"Smim1",8.27700742378709e-13,0.756135318292266,0.542,0.158,1.17773538633067e-08,7,"Smim1"
"Ccnd1.3",8.38838579891761e-13,-1.44923028337851,0.188,0.735,1.19358341532799e-08,7,"Ccnd1"
"Ctsf",9.3102402891953e-13,0.531779225149787,0.458,0.106,1.3247540907496e-08,7,"Ctsf"
"Hacd4",1.03227733824675e-12,0.519731597385257,0.458,0.109,1.4688274245913e-08,7,"Hacd4"
"Myo9a",1.06869242699625e-12,0.425404214837103,0.333,0.058,1.52064245437296e-08,7,"Myo9a"
"Klf2",1.08786261103057e-12,1.40153555392193,0.458,0.115,1.54791970923539e-08,7,"Klf2"
"Hook3.3",1.13310464136147e-12,0.710381173551574,0.688,0.243,1.61229459419324e-08,7,"Hook3"
"Igsf8.2",1.36886159925539e-12,0.645156754300847,0.646,0.214,1.9477531695805e-08,7,"Igsf8"
"Gda",1.42075522668569e-12,1.06110116822794,0.5,0.142,2.02159261205106e-08,7,"Gda"
"Sfn.4",1.47097414836256e-12,-1.46536671540814,0,0.568,2.09304911570508e-08,7,"Sfn"
"Krtcap3.3",1.48882339399208e-12,-0.910814537600653,0.042,0.611,2.11844680731134e-08,7,"Krtcap3"
"Reep3.2",1.55255808318621e-12,0.918686025336908,0.75,0.325,2.20913489656566e-08,7,"Reep3"
"Chpf",1.63824018892426e-12,0.65880715681973,0.458,0.117,2.33105196482033e-08,7,"Chpf"
"Gria3",1.6632326020238e-12,0.465019417741731,0.312,0.053,2.36661366941966e-08,7,"Gria3"
"Tstd1.5",1.66790261768091e-12,-1.58789260777635,0.042,0.618,2.37325863469817e-08,7,"Tstd1"
"Elf3.4",2.04202235529731e-12,-1.09251748534214,0,0.563,2.90559360935254e-08,7,"Elf3"
"Ext1.1",2.19821969060615e-12,0.794048808631496,0.542,0.163,3.12784679776349e-08,7,"Ext1"
"Vasn.1",2.21344732308558e-12,0.539433669926924,0.521,0.141,3.14951419601847e-08,7,"Vasn"
"Pigr.3",2.36975269241514e-12,-2.22201622589496,0.062,0.615,3.3719211060375e-08,7,"Pigr"
"Tnfrsf1b",2.53496699916211e-12,0.329629568525792,0.333,0.058,3.60700454310777e-08,7,"Tnfrsf1b"
"Zfp771.1",2.55534904166498e-12,0.621975460491679,0.625,0.211,3.6360061513851e-08,7,"Zfp771"
"Wnt5a",2.68057512541438e-12,0.788808945700625,0.438,0.105,3.81419034595212e-08,7,"Wnt5a"
"Ifit1",2.71220830279275e-12,0.633585072325528,0.271,0.041,3.8592011940438e-08,7,"Ifit1"
"H3f3b.4",2.94101329771455e-12,-1.27477036536913,1,0.955,4.18476782131803e-08,7,"H3f3b"
"Khdrbs3",3.10320604013908e-12,0.480385638606969,0.333,0.062,4.4155518745139e-08,7,"Khdrbs3"
"Fermt2.1",3.21353594648576e-12,0.801196336737241,0.562,0.177,4.57254029825459e-08,7,"Fermt2"
"Cep170.1",3.2461744478635e-12,0.392018046342556,0.375,0.075,4.61898162186497e-08,7,"Cep170"
"Mbnl1.1",3.33873004401718e-12,0.790949946787667,0.854,0.419,4.75067897963205e-08,7,"Mbnl1"
"Nampt",4.03921634670838e-12,0.506724421524977,0.521,0.144,5.74740093973136e-08,7,"Nampt"
"Ecm1.4",4.0704921463162e-12,0.784016280653128,0.854,0.403,5.79190327499331e-08,7,"Ecm1"
"Nptn.2",4.07920540875158e-12,0.839539747821554,0.729,0.305,5.80430137611262e-08,7,"Nptn"
"Nab2",4.28852549905799e-12,0.404342599309274,0.333,0.062,6.10214293260962e-08,7,"Nab2"
"Rrbp1.4",4.47307453035758e-12,0.901000032647651,0.938,0.868,6.3647377492458e-08,7,"Rrbp1"
"Cadm1.3",4.85532108934152e-12,-1.07402868881287,0.021,0.57,6.90863637802405e-08,7,"Cadm1"
"Tmem65",5.21092445793548e-12,0.46838444140365,0.479,0.124,7.4146244111964e-08,7,"Tmem65"
"Ltbp3.6",5.25325710926871e-12,0.728425638506569,0.729,0.276,7.47485954077844e-08,7,"Ltbp3"
"Cd55.1",5.36959063932213e-12,1.0004415016838,0.521,0.158,7.64039052069146e-08,7,"Cd55"
"Gna12",5.42224372069706e-12,0.482757385814889,0.417,0.097,7.71531059017985e-08,7,"Gna12"
"Rhoc.5",5.70791429629655e-12,0.785756468971993,0.812,0.37,8.12179125220036e-08,7,"Rhoc"
"Amotl2.4",6.80296358210416e-12,0.765441690276197,0.625,0.218,9.679936880976e-08,7,"Amotl2"
"Tmem30a.2",6.98171562398533e-12,0.701977674324614,0.708,0.291,9.93428316136873e-08,7,"Tmem30a"
"Slc12a4",7.06890184016333e-12,0.393127811813347,0.333,0.062,1.00583404283684e-07,7,"Slc12a4"
"Slc44a1.3",7.28328184275238e-12,0.791424893907636,0.688,0.27,1.03633817340524e-07,7,"Slc44a1"
"Sdc1.4",7.28557815728393e-12,-1.20914031473461,0.125,0.655,1.03666491599993e-07,7,"Sdc1"
"Igf2r.2",8.1364202741585e-12,0.815350733153117,0.646,0.246,1.15773124081001e-07,7,"Igf2r"
"Fads1",8.26709583190052e-12,0.448958942816,0.458,0.113,1.17632506592113e-07,7,"Fads1"
"Sult1a1.1",8.5339187703983e-12,0.438964894697203,0.396,0.086,1.21429130183997e-07,7,"Sult1a1"
"Spint1.3",9.33337215280659e-12,-0.902062063591689,0,0.538,1.32804552362285e-07,7,"Spint1"
"Cd2ap.4",9.7277807718456e-12,-1.02626400368051,0.396,0.844,1.38416592602591e-07,7,"Cd2ap"
"Lcn2.5",9.77305001377667e-12,-3.78515807903753,0.125,0.662,1.39060728646028e-07,7,"Lcn2"
"Eif4g3.3",9.88826206628991e-12,0.701208789926707,0.646,0.227,1.40700080941239e-07,7,"Eif4g3"
"Itsn1",9.90549259225714e-12,0.498237094848546,0.375,0.081,1.40945254095227e-07,7,"Itsn1"
"Tnfaip2.1",9.98422089538148e-12,0.573659350974303,0.604,0.184,1.42065479120383e-07,7,"Tnfaip2"
"Lats2",1.07796434360279e-11,0.44960092526775,0.417,0.097,1.53383546451241e-07,7,"Lats2"
"Pcbd1.2",1.08915558037667e-11,-0.851884938725403,0.062,0.592,1.54975947531797e-07,7,"Pcbd1"
"Zbtb20.5",1.12030474393663e-11,1.11748046004357,0.938,0.721,1.59408162014742e-07,7,"Zbtb20"
"Gsto1.4",1.15361298189205e-11,-1.86383688380723,0.146,0.671,1.64147591193419e-07,7,"Gsto1"
"Pttg1ip.4",1.21522373925365e-11,0.792121164110283,0.812,0.391,1.72914185858402e-07,7,"Pttg1ip"
"Serpinb1a.3",1.27692179081071e-11,-1.18233815454035,0.104,0.658,1.81693201614455e-07,7,"Serpinb1a"
"Pofut2.1",1.42517928394788e-11,0.651765538376497,0.625,0.217,2.02788760312944e-07,7,"Pofut2"
"Gnas.3",1.4335418139271e-11,0.77671061418368,0.979,0.945,2.03978664703687e-07,7,"Gnas"
"Nrep",1.47071005636685e-11,0.695139492173501,0.292,0.05,2.09267333920439e-07,7,"Nrep"
"Hebp1",1.48531138021952e-11,0.463919450442155,0.375,0.082,2.11344956291436e-07,7,"Hebp1"
"Praf2",1.51191476715031e-11,0.478871769981614,0.417,0.103,2.15130352217818e-07,7,"Praf2"
"Stmn1.3",1.51559035489872e-11,-1.16860342548706,0.062,0.604,2.15653351598539e-07,7,"Stmn1"
"Slc16a2.1",1.62140497934923e-11,0.748476851665406,0.5,0.158,2.30709714511602e-07,7,"Slc16a2"
"Egfr.2",1.62173587307199e-11,0.635955023529035,0.604,0.196,2.30756797379413e-07,7,"Egfr"
"Plscr1.5",1.69857581645355e-11,-1.1925895416113,0.25,0.732,2.41690352923176e-07,7,"Plscr1"
"Slc39a13",1.77147289244469e-11,0.500846770454786,0.438,0.109,2.52062877865956e-07,7,"Slc39a13"
"Cyp20a1",1.82103572146868e-11,0.568334644997845,0.521,0.154,2.59115172807778e-07,7,"Cyp20a1"
"Sh3pxd2b.1",1.8659610405187e-11,0.550935096920962,0.5,0.14,2.65507596455405e-07,7,"Sh3pxd2b"
"Mcrip1.4",1.91864745257291e-11,0.752891835066366,0.771,0.329,2.73004346026599e-07,7,"Mcrip1"
"Tmem150a",2.02027667541635e-11,0.523807918898098,0.396,0.091,2.87465168144992e-07,7,"Tmem150a"
"Btg1.4",2.14864369655487e-11,-1.16489666400436,0.458,0.857,3.05730511582792e-07,7,"Btg1"
"Dstn.5",2.15002244413545e-11,-1.27355505674936,0.833,0.939,3.05926693576034e-07,7,"Dstn"
"Akt2",2.1969727258001e-11,0.532003280910587,0.5,0.146,3.12607249154097e-07,7,"Akt2"
"Rab31",2.35253171698517e-11,0.417610057355306,0.396,0.091,3.3474173800982e-07,7,"Rab31"
"S100a16.2",2.42866915314534e-11,0.994705359454747,0.896,0.686,3.45575333801051e-07,7,"S100a16"
"Selenon",2.53725352986289e-11,0.62759306545037,0.521,0.161,3.61025804764191e-07,7,"Selenon"
"C4b.3",2.53998836234114e-11,2.25354428169777,0.771,0.516,3.61414944077521e-07,7,"C4b"
"Sftpd.4",2.5793834353579e-11,-1.36867835012746,0,0.53,3.67020469017075e-07,7,"Sftpd"
"Sulf2.5",2.59257344300378e-11,0.973975425571854,0.646,0.259,3.68897275205007e-07,7,"Sulf2"
"Phldb1.1",2.60780620894144e-11,0.4812185109587,0.417,0.103,3.71064745470278e-07,7,"Phldb1"
"Rcn2.2",2.68724021827198e-11,0.746823332812893,0.646,0.261,3.8236741065792e-07,7,"Rcn2"
"Dpm3.3",2.70953419914265e-11,0.702632502253651,0.917,0.686,3.85539621196008e-07,7,"Dpm3"
"Zcchc14",2.78905869377732e-11,0.501353068070402,0.521,0.148,3.96855161537576e-07,7,"Zcchc14"
"Sirpa.1",3.07816920534537e-11,0.489845967856036,0.479,0.128,4.37992696228592e-07,7,"Sirpa"
"Arrdc3",3.11468115859086e-11,0.472128741002748,0.271,0.045,4.43187982055894e-07,7,"Arrdc3"
"Cdkn2c",3.45137225284219e-11,0.38675828693762,0.333,0.066,4.91095757856915e-07,7,"Cdkn2c"
"Ginm1.3",3.50661613008446e-11,0.654538214052606,0.646,0.241,4.98956409149717e-07,7,"Ginm1"
"Rbms3.5",3.58998899011897e-11,0.86994570842603,0.792,0.351,5.10819533404028e-07,7,"Rbms3"
"Il17ra",4.04142974418222e-11,0.300320888221667,0.271,0.044,5.75055038299688e-07,7,"Il17ra"
"Fez2",4.06083305017678e-11,0.39359046616131,0.375,0.084,5.77815934709654e-07,7,"Fez2"
"Itga6.4",4.0829499352159e-11,-0.9607700144313,0.021,0.551,5.8096294628187e-07,7,"Itga6"
"Pla2g15",4.2213807144135e-11,0.311960967923093,0.271,0.044,6.00660261853897e-07,7,"Pla2g15"
"Pds5b",4.30674776249874e-11,0.428447876389828,0.438,0.111,6.12807139125945e-07,7,"Pds5b"
"Lysmd2",4.58141522020834e-11,0.455714048994362,0.417,0.101,6.51889571683445e-07,7,"Lysmd2"
"2610008E11Rik",4.65597453509655e-11,0.331228122751269,0.333,0.066,6.62498616598888e-07,7,"2610008E11Rik"
"Twsg1.3",5.02921481360366e-11,0.717966225272218,0.604,0.215,7.15606975827665e-07,7,"Twsg1"
"Cndp2",5.04443394448885e-11,0.619491266953406,0.5,0.15,7.17772505961318e-07,7,"Cndp2"
"2900097C17Rik.2",5.19461372563273e-11,0.887369456128468,0.729,0.332,7.39141587020281e-07,7,"2900097C17Rik"
"Creg1.2",5.29442164234061e-11,0.807684307906746,0.646,0.251,7.53343255488646e-07,7,"Creg1"
"Sh3bp5",5.39121804307443e-11,0.402399478465608,0.271,0.045,7.67116415349061e-07,7,"Sh3bp5"
"Asap1.1",5.90997121690286e-11,0.552377071094869,0.5,0.15,8.40929804453108e-07,7,"Asap1"
"Tubb2a.4",6.02031256456907e-11,0.702848911920432,0.667,0.241,8.56630274812533e-07,7,"Tubb2a"
"Sorbs2.3",6.13389707057183e-11,-1.37665640755099,0.042,0.563,8.72792214171666e-07,7,"Sorbs2"
"F2r.1",6.56569170049534e-11,0.661896833218405,0.354,0.076,9.34232272063481e-07,7,"F2r"
"Igfbp5",7.65486458759362e-11,1.49357571747868,0.354,0.081,1.0892106821687e-06,7,"Igfbp5"
"Rtl8b",7.76252496534168e-11,0.437963119311473,0.354,0.078,1.10452967731847e-06,7,"Rtl8b"
"Msrb3",8.2133880740463e-11,0.329984649758421,0.25,0.039,1.16868298905605e-06,7,"Msrb3"
"Sec11c.2",8.29575720792088e-11,-0.871421099300566,0.312,0.768,1.18040329311506e-06,7,"Sec11c"
"Selenop.4",8.39341064898586e-11,1.06742333625249,0.979,0.789,1.1942984012442e-06,7,"Selenop"
"Fkbp4.2",8.54051380656587e-11,-0.862346764732171,0.312,0.788,1.21522970953626e-06,7,"Fkbp4"
"Trps1",9.27243049758082e-11,0.292137683973639,0.271,0.045,1.31937413550077e-06,7,"Trps1"
"2510009E07Rik",9.87605426717085e-11,0.353795879656544,0.292,0.054,1.40526376167574e-06,7,"2510009E07Rik"
"Tgfb2.1",1.07551117097202e-10,0.565128978503717,0.417,0.105,1.53034484517609e-06,7,"Tgfb2"
"Atp1a1.3",1.09277902905417e-10,-1.23397646053629,0.521,0.875,1.55491528044118e-06,7,"Atp1a1"
"Rbpj",1.1331011324913e-10,0.623809955808783,0.542,0.174,1.61228960142187e-06,7,"Rbpj"
"Ivns1abp.2",1.1349657158135e-10,-0.955199787377866,0.083,0.591,1.61494271703102e-06,7,"Ivns1abp"
"Jdp2",1.30589532315522e-10,0.320100060826576,0.312,0.061,1.85815845531756e-06,7,"Jdp2"
"Fut11",1.31345804083328e-10,0.485028197523522,0.417,0.106,1.86891944630167e-06,7,"Fut11"
"Nin",1.56181845922823e-10,0.307084247648342,0.292,0.054,2.22231148563585e-06,7,"Nin"
"Atpif1.3",1.63562327012622e-10,-0.929501935813434,0.854,0.952,2.3273283510626e-06,7,"Atpif1"
"Mia3",1.71813569526224e-10,0.618683583860672,0.646,0.245,2.44473528078864e-06,7,"Mia3"
"Pea15a.3",1.73933730649461e-10,0.671668039792393,0.604,0.222,2.47490305341118e-06,7,"Pea15a"
"Slc25a4.1",1.85030928051709e-10,0.890627471284164,0.854,0.604,2.63280507524776e-06,7,"Slc25a4"
"Srm",2.06135020153063e-10,0.56241459380668,0.604,0.209,2.93309520175793e-06,7,"Srm"
"Glipr2.1",2.14167453098397e-10,0.516735344925337,0.396,0.1,3.04738869013709e-06,7,"Glipr2"
"St14.3",2.15450887763441e-10,-0.898372304442628,0,0.495,3.06565068198601e-06,7,"St14"
"Glg1.2",2.33455641812335e-10,0.65927613305927,0.708,0.305,3.32184032734772e-06,7,"Glg1"
"Lgals9.3",2.3553733191435e-10,0.715125295395184,0.688,0.294,3.35146069580928e-06,7,"Lgals9"
"Mxd4.2",2.38375759697817e-10,0.772335520711412,0.708,0.329,3.39184868474024e-06,7,"Mxd4"
"Clic1.5",2.53164569450527e-10,-1.03842184838242,0.792,0.934,3.60227865871155e-06,7,"Clic1"
"Cnn3.6",2.71608579754116e-10,0.684408743634744,0.646,0.246,3.86471848132132e-06,7,"Cnn3"
"Foxj2",2.79372758817665e-10,0.509585301767501,0.396,0.105,3.97519498521655e-06,7,"Foxj2"
"Atp1b3.2",2.81323045382529e-10,0.608444716069674,0.688,0.283,4.002945612748e-06,7,"Atp1b3"
"Lrrc58.1",2.9577723596283e-10,0.850736694843827,0.625,0.268,4.20861429051511e-06,7,"Lrrc58"
"Snx33",3.05336280688195e-10,0.412594407785797,0.333,0.074,4.34462993791232e-06,7,"Snx33"
"Metrnl",3.07196567057186e-10,0.498237094848546,0.354,0.082,4.3710999526567e-06,7,"Metrnl"
"Mettl26.2",3.08731370062992e-10,-0.774398286620958,0.188,0.661,4.39293866462631e-06,7,"Mettl26"
"Stx2",3.2237819311175e-10,0.295768934420508,0.292,0.055,4.58711930978709e-06,7,"Stx2"
"Tceal8.6",3.32127061687478e-10,0.620849736960454,0.667,0.266,4.72583596075112e-06,7,"Tceal8"
"Naaa",3.3844735897512e-10,0.43608524224543,0.354,0.082,4.81576747085699e-06,7,"Naaa"
"Dtx4",3.93995649645352e-10,0.72374548940685,0.417,0.117,5.60616409880372e-06,7,"Dtx4"
"Rhobtb3",4.06502606385947e-10,0.397540139754341,0.396,0.1,5.78412558626564e-06,7,"Rhobtb3"
"Lgals4.4",4.20416420274473e-10,-2.03935865822171,0.062,0.544,5.98210524408547e-06,7,"Lgals4"
"Wnk1.2",4.25935106018459e-10,0.734634996647275,0.708,0.32,6.06063062353665e-06,7,"Wnk1"
"Nlgn2",4.42662701750838e-10,0.302223956557807,0.292,0.056,6.29864758321268e-06,7,"Nlgn2"
"Lrrfip1.2",4.65206909984555e-10,-0.857964033519219,0.146,0.622,6.61942912217024e-06,7,"Lrrfip1"
"Wwc1.4",4.80236801455143e-10,-1.00007026739601,0.021,0.506,6.83328944790523e-06,7,"Wwc1"
"Rdx.6",5.02127623797072e-10,0.753440524730589,0.708,0.322,7.14477395900853e-06,7,"Rdx"
"Reg1.5",5.36635646198654e-10,-4.64850388319109,0.333,0.715,7.63578860976065e-06,7,"Reg1"
"Atp6ap1.2",6.44445562048778e-10,0.778604749561646,0.604,0.254,9.16981590239206e-06,7,"Atp6ap1"
"Txndc11",6.45778308719419e-10,0.437451842601633,0.438,0.123,9.18877955476861e-06,7,"Txndc11"
