"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Barx1",3.63479309865587e-45,0.698305650130234,0.292,0.004,5.17194710007743e-41,7,"Barx1"
"Lamc1",4.05420121765971e-45,2.10089757584796,0.938,0.184,5.768722912608e-41,7,"Lamc1"
"Clec11a",4.66521723094482e-45,0.882094514087794,0.458,0.023,6.63813759791138e-41,7,"Clec11a"
"Nbl1.1",5.67667803028349e-45,1.99602569249124,0.792,0.105,8.07734516929038e-41,7,"Nbl1"
"Cxcl12.1",6.70017871623612e-45,1.86466986916993,0.688,0.072,9.53368429533237e-41,7,"Cxcl12"
"Dlc1",1.0012130212921e-44,1.09896554930205,0.688,0.068,1.42462600799654e-40,7,"Dlc1"
"Enpp2",1.10941759914877e-44,1.00246151747291,0.396,0.014,1.57859030182879e-40,7,"Enpp2"
"Csf1",1.20404652458038e-44,1.21965554962053,0.833,0.11,1.71323779982543e-40,7,"Csf1"
"G0s2",1.30557698650586e-44,1.53011500138797,0.667,0.064,1.85770549409919e-40,7,"G0s2"
"Gpc3.1",1.60991510527602e-44,1.87063374359091,0.708,0.079,2.29074820329726e-40,7,"Gpc3"
"Ndufa4l2",1.73256939042552e-44,0.61419810989996,0.271,0.002,2.46527298563647e-40,7,"Ndufa4l2"
"S1pr3",2.07651061932258e-44,0.449138863629464,0.271,0.002,2.9546669602341e-40,7,"S1pr3"
"Ssc5d",2.07820245095661e-44,0.49220758552135,0.271,0.002,2.95707426746615e-40,7,"Ssc5d"
"C2",2.42545997543235e-44,1.29315013711241,0.646,0.06,3.45118699904268e-40,7,"C2"
"Matn2",2.61100527568874e-44,1.00587466717286,0.521,0.032,3.71519940677751e-40,7,"Matn2"
"Vit",3.48965491193021e-44,0.603141491418389,0.25,0.001,4.9654299741855e-40,7,"Vit"
"Snai1",3.49745278318869e-44,0.630620052309281,0.375,0.012,4.97652556519918e-40,7,"Snai1"
"Pde3a",3.83389026992536e-44,0.367513242925248,0.25,0.001,5.4552424650768e-40,7,"Pde3a"
"Gm34030",3.90446141268455e-44,0.344054270101258,0.25,0.001,5.55565814410884e-40,7,"Gm34030"
"Hoxb3",3.97532278033164e-44,0.320207528146891,0.25,0.001,5.65648678413389e-40,7,"Hoxb3"
"Fam102b",4.42136639723334e-44,1.07833047177556,0.729,0.081,6.29116224662331e-40,7,"Fam102b"
"BC028528",7.55003649973323e-44,0.425404214837103,0.312,0.006,1.07429469354704e-39,7,"BC028528"
